"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	44	9050985	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"All other drug-induced causes"	"D9"	63	9050985	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	58	9050985	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"All other alcohol-induced causes"	"A9"	135	9050985	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"All other non-drug and non-alcohol causes"	"O9"	5998	9050985	66.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	2761	10498761	26.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	206	10498761	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	98	10498761	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"All other drug-induced causes"	"D9"	98	10498761	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	114	10498761	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"All other alcohol-induced causes"	"A9"	576	10498761	5.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"35-44 years"	"35-44"	"All other non-drug and non-alcohol causes"	"O9"	12448	10498761	118.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	2487	11149529	22.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	345	11149529	3.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	122	11149529	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"All other drug-induced causes"	"D9"	133	11149529	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	151	11149529	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"All other alcohol-induced causes"	"A9"	1414	11149529	12.7
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"45-54 years"	"45-54"	"All other non-drug and non-alcohol causes"	"O9"	31710	11149529	284.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1200	8907637	13.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	218	8907637	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	42	8907637	0.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"All other drug-induced causes"	"D9"	80	8907637	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	105	8907637	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"All other alcohol-induced causes"	"A9"	1421	8907637	16.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"55-64 years"	"55-64"	"All other non-drug and non-alcohol causes"	"O9"	59356	8907637	666.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	203	5609058	3.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	79	5609058	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"All other drug-induced causes"	"D9"	51	5609058	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	31	5609058	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"All other alcohol-induced causes"	"A9"	698	5609058	12.4
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"65-74 years"	"65-74"	"All other non-drug and non-alcohol causes"	"O9"	92384	5609058	1647.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	56	3600896	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	39	3600896	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75-84 years"	"75-84"	"All other drug-induced causes"	"D9"	43	3600896	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75-84 years"	"75-84"	"All other alcohol-induced causes"	"A9"	257	3600896	7.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"75-84 years"	"75-84"	"All other non-drug and non-alcohol causes"	"O9"	162653	3600896	4517.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"85+ years"	"85+"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	55	1695724	3.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"85+ years"	"85+"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	25	1695724	1.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"85+ years"	"85+"	"All other drug-induced causes"	"D9"	20	1695724	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"85+ years"	"85+"	"All other alcohol-induced causes"	"A9"	59	1695724	3.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"85+ years"	"85+"	"All other non-drug and non-alcohol causes"	"O9"	233437	1695724	13766.2
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"Not Stated"	"NS"	"All other non-drug and non-alcohol causes"	"O9"	39	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"< 1 year"	"1"	"All other non-drug and non-alcohol causes"	"O9"	1617	278621	580.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"1-4 years"	"1-4"	"All other non-drug and non-alcohol causes"	"O9"	257	1155234	22.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"5-14 years"	"5-14"	"All other non-drug and non-alcohol causes"	"O9"	446	3283881	13.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	307	3453420	8.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	24	3453420	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"15-24 years"	"15-24"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	12	3453420	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"15-24 years"	"15-24"	"All other non-drug and non-alcohol causes"	"O9"	2063	3453420	59.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	896	3175315	28.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	61	3175315	1.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	3175315	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"All other drug-induced causes"	"D9"	33	3175315	1.0
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	3175315	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"All other alcohol-induced causes"	"A9"	52	3175315	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"25-34 years"	"25-34"	"All other non-drug and non-alcohol causes"	"O9"	2451	3175315	77.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	906	3766642	24.1
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	132	3766642	3.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	25	3766642	0.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"All other drug-induced causes"	"D9"	34	3766642	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	46	3766642	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"All other alcohol-induced causes"	"A9"	251	3766642	6.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"35-44 years"	"35-44"	"All other non-drug and non-alcohol causes"	"O9"	4993	3766642	132.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	806	4271963	18.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	166	4271963	3.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	24	4271963	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"All other drug-induced causes"	"D9"	36	4271963	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	94	4271963	2.2
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"All other alcohol-induced causes"	"A9"	790	4271963	18.5
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"45-54 years"	"45-54"	"All other non-drug and non-alcohol causes"	"O9"	13741	4271963	321.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	312	3733769	8.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	140	3733769	3.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	10	3733769	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"All other drug-induced causes"	"D9"	23	3733769	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	53	3733769	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"All other alcohol-induced causes"	"A9"	844	3733769	22.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"55-64 years"	"55-64"	"All other non-drug and non-alcohol causes"	"O9"	29277	3733769	784.1
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	68	2511863	2.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	43	2511863	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"All other drug-induced causes"	"D9"	14	2511863	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	22	2511863	0.9
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"All other alcohol-induced causes"	"A9"	476	2511863	19.0
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"65-74 years"	"65-74"	"All other non-drug and non-alcohol causes"	"O9"	48047	2511863	1912.8
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	17	1470609	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	21	1470609	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"75-84 years"	"75-84"	"All other drug-induced causes"	"D9"	11	1470609	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"75-84 years"	"75-84"	"All other alcohol-induced causes"	"A9"	200	1470609	13.6
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"75-84 years"	"75-84"	"All other non-drug and non-alcohol causes"	"O9"	75923	1470609	5162.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"85+ years"	"85+"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	16	595274	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"85+ years"	"85+"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	17	595274	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"85+ years"	"85+"	"All other drug-induced causes"	"D9"	11	595274	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"85+ years"	"85+"	"All other alcohol-induced causes"	"A9"	52	595274	8.7
	"Census Region 1: Northeast"	"CENS-R1"	"Maine"	"23"	"85+ years"	"85+"	"All other non-drug and non-alcohol causes"	"O9"	90358	595274	15179.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"< 1 year"	"1"	"All other non-drug and non-alcohol causes"	"O9"	7222	1561745	462.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"1-4 years"	"1-4"	"All other non-drug and non-alcohol causes"	"O9"	1053	6285538	16.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"5-14 years"	"5-14"	"All other non-drug and non-alcohol causes"	"O9"	1652	16849021	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	1399	19102933	7.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	111	19102933	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	353	19102933	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"All other drug-induced causes"	"D9"	119	19102933	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	14	19102933	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"All other alcohol-induced causes"	"A9"	24	19102933	0.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"15-24 years"	"15-24"	"All other non-drug and non-alcohol causes"	"O9"	7691	19102933	40.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	4997	18833613	26.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	202	18833613	1.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	781	18833613	4.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"All other drug-induced causes"	"D9"	376	18833613	2.0
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	84	18833613	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"All other alcohol-induced causes"	"A9"	299	18833613	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"25-34 years"	"25-34"	"All other non-drug and non-alcohol causes"	"O9"	10629	18833613	56.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	4632	19510924	23.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	352	19510924	1.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	1307	19510924	6.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"All other drug-induced causes"	"D9"	465	19510924	2.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	155	19510924	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"All other alcohol-induced causes"	"A9"	1281	19510924	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"35-44 years"	"35-44"	"All other non-drug and non-alcohol causes"	"O9"	22374	19510924	114.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	4510	20021996	22.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	519	20021996	2.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	883	20021996	4.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"All other drug-induced causes"	"D9"	555	20021996	2.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	236	20021996	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"All other alcohol-induced causes"	"A9"	3162	20021996	15.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"45-54 years"	"45-54"	"All other non-drug and non-alcohol causes"	"O9"	56965	20021996	284.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	2080	16071511	12.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	367	16071511	2.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	207	16071511	1.3
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"All other drug-induced causes"	"D9"	281	16071511	1.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	192	16071511	1.2
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"All other alcohol-induced causes"	"A9"	2858	16071511	17.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"55-64 years"	"55-64"	"All other non-drug and non-alcohol causes"	"O9"	110212	16071511	685.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	310	10315538	3.0
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	146	10315538	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	45	10315538	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"All other drug-induced causes"	"D9"	64	10315538	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	42	10315538	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"All other alcohol-induced causes"	"A9"	1337	10315538	13.0
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"65-74 years"	"65-74"	"All other non-drug and non-alcohol causes"	"O9"	178469	10315538	1730.1
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	104	6521868	1.6
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	55	6521868	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	11	6521868	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"All other drug-induced causes"	"D9"	28	6521868	0.4
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"All other alcohol-induced causes"	"A9"	449	6521868	6.9
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"75-84 years"	"75-84"	"All other non-drug and non-alcohol causes"	"O9"	310618	6521868	4762.7
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"85+ years"	"85+"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	75	2953167	2.5
	"Census Region 1: Northeast"	"CENS-R1"	"Massachusetts"	"25"	"85+ years"	"85+"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	2953167	0.7
